utgdag,kaupverd,nuvirdi,ist120,ibm2,ib2m2,ib3m2,rism2,bilskurm2,geymm2,two_livunits,two_storey,storeys_3,age_studull,not_concrete,stud1house,bath_fixtures,fjbilsk,lodpflm,landratio,innig_factor,utig_factor,fjarmalastofnunselur,hverfi,gata
5/17/2017,68000,67872,1121,"205,2","68,4",0,0,"28,5",0,0,0,1,40,0,1,3,0,374,"0,588","0,97","0,96",0,320,15
5/11/2017,35900,35855,1126,"76,5","76,5",0,0,0,"1,6",0,0,0,40,"0,5",1,2,0,"274,1","0,431",1,1,0,320,0
5/24/2017,31500,31461,1126,63,63,0,0,0,0,0,0,0,40,0,1,2,0,266,"0,418","1,15",1,0,320,0
5/26/2017,71000,70923,1111,"145,3","35,3",0,0,"22,7",0,0,1,0,40,0,"1,072",4,0,621,"0,976",1,1,0,320,0
6/1/2017,51000,50425,1126,130,0,0,0,"24,2",0,0,0,0,40,0,1,2,0,"395,8","0,622",1,1,0,320,0
5/24/2017,42500,42408,1126,"129,9",0,0,0,32,0,0,0,0,40,0,1,2,0,"487,9","0,767","0,89","0,91",1,320,0
6/15/2017,67200,67179,1111,"123,9",0,0,0,"24,2","24,2",0,0,0,40,0,"1,087",2,0,524,"0,824",1,"0,96",0,320,0
5/4/2017,50000,50000,1126,159,0,0,0,"27,8",0,0,1,0,40,0,1,3,0,396,"0,623","1,06","0,96",0,320,0
6/18/2017,66500,66095,1121,"184,8","67,8",0,0,"43,2",0,0,1,0,40,0,1,3,0,529,"0,832","1,02",1,0,320,63
6/23/2017,27100,27095,1126,"64,8","64,8",0,0,0,0,0,0,0,40,0,1,2,0,92,"0,145",1,1,0,320,0
6/21/2017,87000,85750,1111,"242,2","67,1",80,0,"35,5",0,0,0,1,35,"0,5","1,086",4,0,400,"0,629","1,11","0,96",0,320,0
6/25/2017,78500,77930,1111,"190,2","45,4",0,0,"31,6",0,0,1,0,40,0,"1,121",4,0,542,"0,852","0,99","0,96",0,320,0
7/1/2017,89500,88168,1111,"213,8",0,0,0,"24,4",0,0,1,0,40,0,"1,07",5,0,624,"0,981","1,02","0,96",0,320,15
7/1/2017,40100,40086,1126,"90,5",0,0,0,0,10,0,0,0,39,0,1,2,0,203,"0,319",1,1,0,320,0
5/20/2017,92000,89791,1111,"299,2",0,0,0,"34,4",0,0,1,0,40,0,"1,194",5,0,624,"0,981","1,08",1,0,320,15
7/23/2017,76500,76054,1111,"202,3",0,0,0,"29,8",0,0,1,0,40,0,"1,172",5,0,883,"1,388",1,1,0,320,0
7/30/2017,73500,73382,1111,"171,1","35,1",0,0,"28,4",0,0,1,0,40,0,"1,176",3,0,714,"1,123","0,98",1,0,320,0
8/2/2017,42000,42042,1125,"73,5",0,0,0,0,0,0,0,0,28,0,1,2,0,234,"0,368","0,96","1,11",0,320,0
8/13/2017,73500,71147,1125,"229,4","90,5","57,6",0,"26,6",0,0,0,1,34,"0,5",1,5,0,366,"0,575","0,99","0,94",0,320,15
8/17/2017,42000,41991,1126,"90,2",0,"90,2","7,2",0,0,0,0,0,40,0,1,2,0,314,"0,494",1,1,0,320,0
8/19/2017,66500,66324,1125,"227,3","76,9",0,0,0,0,0,0,1,40,0,1,4,0,344,"0,541","0,96",1,0,320,0
8/27/2017,65000,64830,1121,267,"147,9",0,0,"26,8",0,0,1,0,40,0,1,4,0,542,"0,852","0,99",1,0,320,0
9/6/2017,79000,79000,1111,"195,6","81,9",0,0,"29,5",0,0,1,0,40,0,"1,079",3,0,547,"0,86","0,91",1,0,320,0
10/1/2017,72900,72528,1111,"177,5","39,1",0,0,"30,1",0,0,1,0,40,0,"1,04",3,0,903,"1,42","0,96","1,07",0,320,0
10/7/2017,43900,43845,1126,"102,7",0,0,0,0,0,0,0,0,40,0,1,3,0,190,"0,299",1,1,0,320,0
10/6/2017,53700,53648,1126,"111,5",0,0,0,"23,8",0,0,0,0,40,0,1,2,0,379,"0,596",1,"0,98",0,320,0
10/1/2017,71500,70931,1121,"176,7","56,7",0,0,"32,4",0,0,1,0,40,0,1,4,0,336,"0,528","0,99",1,0,320,0
10/12/2017,54000,53623,1126,"83,3",0,0,0,"38,1",0,0,0,0,40,1,1,2,0,"293,4","0,461","0,85","0,95",0,320,0
10/13/2017,31500,31367,1126,"73,6","73,6",0,0,0,0,0,0,0,40,1,1,2,0,"213,7","0,336","0,89",1,0,320,0
10/15/2017,35900,35859,1126,"84,2",0,0,0,0,0,0,0,0,40,0,1,2,0,218,"0,343","1,04",1,0,320,15
10/21/2017,61000,60939,1121,"118,2",0,0,0,30,"15,4",0,1,0,40,1,1,3,0,569,"0,895","1,26","0,96",0,320,0
10/22/2017,68000,67303,1126,"146,9",0,0,0,"35,5",0,0,0,0,40,0,1,4,0,404,"0,635","1,04","0,94",0,320,15
10/22/2017,82500,82268,1121,"185,8",0,0,0,"26,5",0,0,1,0,30,0,1,4,0,445,"0,7",1,1,0,320,0
10/25/2017,93400,93016,1111,233,"43,7",0,0,"75,2",0,0,1,0,33,0,"1,053",3,0,922,"1,45","1,2","0,94",0,320,0
10/22/2017,46000,45986,1126,"110,2",0,0,0,"26,8",0,0,0,0,40,0,1,2,0,"439,8","0,692",1,"0,96",0,320,0
9/19/2017,60000,59571,1111,"162,4","41,3",0,0,"23,3",0,1,0,0,40,0,"1,162",4,0,630,"0,991","1,14",1,0,320,0
11/2/2017,53000,52789,1121,"126,6",0,0,0,0,0,0,1,0,40,1,1,2,0,272,"0,428","0,91",1,0,320,15
